Username,ID,Date,RT,Fails
ddd,egeqmty1lv,2020-03-24T21:35:03+00:00,4619,0
100,7rqwccirg8,2020-03-25T01:22:37+00:00,41519,2
ADFADF,8ldfff38su,2020-08-17T06:56:27-07:00,2336,0
Ddad,ivr4i5vq4b,2020-08-17T06:57:39-07:00,4860,0
asdfaf,fr8epnwz90,2020-08-17T06:58:39-07:00,2601,0
w10056093C.G.,8ilgnem5mw,2020-08-17T08:58:46-07:00,18868,0
w10068374CG,13la3l8qp7,2020-08-17T10:29:05-07:00,16953,0
w10022351_jam,csfpk7whub,2020-08-17T11:18:28-07:00,8398,0
w980000_lf,5iqf61ok6f,2020-08-17T11:37:29-07:00,7090,0
w10065817_CEB,esbt7ntuf0,2020-08-17T13:01:03-07:00,11447,0
w10065817_CEB,opx3i7by7w,2020-08-17T13:04:39-07:00,12491,0
w10089076_AG,dn2tw7qhld,2020-08-17T13:06:55-07:00,12647,0
w995669_AML,7y573dzooc,2020-08-17T14:29:12-07:00,16226,0
w10030814_cms,y9j7oel6i2,2020-08-17T14:40:37-07:00,21715,0
905158TA,owhcr7ur6j,2020-08-18T12:05:44-07:00,8314,0
w100181550LKD,kvo6hdes9g,2020-08-18T17:29:57-07:00,35517,0
w10048422AB,bes7sqds8b,2020-08-18T17:49:43-07:00,17324,0
w10059358_arw,rretvymjj3,2020-08-18T20:10:27-07:00,9773,0
W10106164HPR,qjhh35oz5s,2020-08-19T09:16:12-07:00,21372,0
10084195jh,nlmr0t3ap4,2020-08-19T14:30:07-07:00,26351,1
w934494_APK,vzhb7wv7na,2020-08-19T23:46:00-07:00,21567,0
w10043024,tt3ocznl5l,2020-08-20T11:19:46-07:00,9309,0
w10046977_ajg,aq48tebm4r,2020-08-20T12:48:48-07:00,11774,0
w10013081,xedqvq5mon,2020-08-21T21:14:29-07:00,9715,0
w10062352_bow,vys7miuxjh,2020-08-22T16:22:39-07:00,19282,0
w10037861HE,rw93gulkn3,2020-08-23T16:04:57-07:00,7641,0
w10084964EB,zboybq7x0f,2020-08-23T19:29:38-07:00,10268,0
w10068593_SLL,if0bsk3fm7,2020-08-24T16:04:56-07:00,20202,0
w100547_HRO,rpdvw5ogfu,2020-08-25T09:57:51-07:00,11132,0
w10088462_kb,wxkjfdbcjm,2020-08-26T13:04:00-07:00,282521,0
w10096966,djo4tnwx70,2020-08-27T10:33:26-07:00,15466,0
982346DJ,fd2iyxikvm,2020-08-27T10:51:43-07:00,6348,0
w535119_jll,9ow3oocti8,2020-08-29T16:26:35-07:00,12488,0
w10039584_msc,uglhrbajv3,2020-08-30T16:18:00-07:00,11767,0
w10036134AN,ea1n15sqdc,2020-08-31T18:16:29-07:00,10960,0
w10088466_kad,hyiaywoi9i,2020-09-02T19:38:52-07:00,21484,0
w10012551_ash,bvsaffp013,2020-09-05T09:17:22-07:00,10649,0
w10021803mm,qotkxc9me9,2020-09-05T18:02:56-07:00,8127,0
w10059664CB,yrhopih0e7,2020-09-05T21:40:04-07:00,11412,0
w10046000_clt,0dlnavum7m,2020-09-06T16:41:37-07:00,13071,0
w10049766_AYN,nnamtajdia,2020-09-06T16:58:00-07:00,7862,0
w10033012_TMB,0cqqkplzht,2020-09-08T10:51:55-07:00,29280,0
w10022439_mlr,t1wqv872d0,2020-09-08T17:04:41-07:00,77959,0
w10082599_LD,u7x96q1nyv,2020-09-10T14:18:22-07:00,16455,0
w10050832_sgm,kckvjiaful,2020-09-11T22:12:55-07:00,8120,0
w10004245,g4n97f78gj,2020-09-12T16:37:02-07:00,6304,2
w10045963_lnp,wdghf6klc3,2020-09-13T08:30:43-07:00,8779,0
w10019988_kh,e65qq6b69l,2020-09-14T13:15:44-07:00,10653,0
w10004567_DNT,k954izcsqt,2020-09-14T17:26:05-07:00,11327,0
w984273RS,xww1bzgwla,2020-09-15T11:20:02-07:00,180918,0
w10103818,jrma3hjqpt,2020-09-15T17:29:28-07:00,26129,0
w997000jy,rkwq8olarx,2020-09-18T14:14:04-07:00,5577,0
w10059558_rch,5ksyq7l8wm,2020-09-19T12:52:23-07:00,8939,0
w10013300MMC,qvpwq8lq40,2020-09-20T21:35:52-07:00,6422,0
w10030757JP,sf71upj9lw,2020-09-21T18:31:12-07:00,10304,0
10069503MDSA,ox0ruwx97y,2020-09-24T15:50:06-07:00,11791,0
10104845FH,r1emwkx808,2020-09-27T08:46:15-07:00,15204,0
w10064597TG,oecxybeny1,2020-09-28T08:06:40-07:00,10657,0
w10044868_as,hnm9ynhli9,2020-09-28T14:58:25-07:00,9878,0
w10044868_as,ssihuxm6ak,2020-09-28T15:00:11-07:00,3427,0
w10071305_mkt,qfiu32gvcg,2020-09-28T18:50:49-07:00,12532,0
w10011881_dnd,zo29qz86em,2020-09-30T08:30:40-07:00,12173,0
w10029010,3uguohoh9g,2020-10-01T09:47:52-07:00,5078,0
w10065796_sjb,2j69kwr1hm,2020-10-01T18:38:43-07:00,9165,0
w10076541_mim,lz1xku94xr,2020-10-02T06:39:50-07:00,5639,0
10071305_mkt,6ph3bzrfyf,2020-10-02T10:22:46-07:00,6401,0
w10082046_ac,pbg3wqcd9x,2020-10-02T13:28:21-07:00,15075,0
w919795_nrb,75qidj0pa3,2020-10-02T17:01:41-07:00,48977,0
w10006036_mlh,4bh46mpg60,2020-10-02T17:26:33-07:00,17860,0
334685WJ,h9lkz6d664,2020-10-03T15:13:37-07:00,13503,0
w10037565TT,abu50hptkg,2020-10-03T17:16:30-07:00,10329,0
w10016442_mb,nh7n0lo4ni,2020-10-04T12:07:22-07:00,8798,0
w10088817_XD,4xz6vcrirt,2020-10-05T17:55:55-07:00,9218,0
w10030825FS,bfjallmiq3,2020-10-05T19:20:50-07:00,6420,0
w10067540jer,zmxficnz89,2020-10-06T14:30:41-07:00,16023,0
977524rc,nybu72v5og,2020-10-06T20:01:35-07:00,9578,0
w10067789_JT,wi1lbwlvxt,2020-10-07T11:47:39-07:00,14920,0
w10085323,oa8fyu9hqw,2020-10-07T13:14:47-07:00,12938,0
10032501AW,3ry13y8ww4,2020-10-07T15:26:27-07:00,10188,0
w959252_kms,w550cyg4ao,2020-10-08T10:21:26-07:00,9882,0
w10106212eb,gyn5yrzdor,2020-10-08T18:36:11-07:00,22415,0
w10106212EB,1saz5rxp0u,2020-10-08T18:49:19-07:00,448000,0
w10027292MK,pyt7nhnn8e,2020-10-10T15:33:04-07:00,31412,0
w10065682_amm,ncvtuh9i33,2020-10-10T16:56:18-07:00,7111,0
10077900LW,zlsg4ay7lf,2020-10-10T20:40:12-07:00,142411,1
w10069845,8psv62nms9,2020-10-10T22:05:10-07:00,5292,0
w10104941_mrp,kubq9folo9,2020-10-11T14:03:13-07:00,11760,0
10064478oc,jnnw6fcx5j,2020-10-17T19:05:18-07:00,59821,0
10097621LS,1sv35ojuyy,2020-10-19T17:57:56-07:00,16525,0
w10077356JS,7zgcyotqkn,2020-10-21T12:47:20-07:00,12537,0
w10079099_msr,lum2656xuu,2020-10-22T06:06:25-07:00,9089,0
w10098918_eks,eir1g0ez1f,2020-10-29T12:08:56-07:00,26930,0
w10093875CES,2ss52cul9s,2020-10-29T16:15:28-07:00,16130,0
10047038AM,e2drtigww1,2020-10-30T13:37:09-07:00,10749,0
w10040181_lb,gpi32doev1,2020-10-30T15:18:20-07:00,17692,0
w218848BM,lvgly3ljxx,2020-10-31T14:13:26-07:00,16550,0
w10049640,06gaa5d6wn,2020-11-02T18:27:32-08:00,69588,0
w10049640,5a65kyarkq,2020-11-04T11:23:45-08:00,5499,0
w10065910_kb,zplycx6kb5,2020-11-05T17:16:34-08:00,12942,0
