"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"5c6427f1327a7600010b071e",1,"Read Version A","ALLOW","TUCK","Study1","U",4016,8297,"tuck",100,100
"5da179412996110016d853d5",1,"Read Version A","ALLOW","TUCK","Study1","U",697,802,"",0,0
"5e1777e09debf50892de6585",1,"Read Version A","ALLOW","TUCK","Study1","U",636,8297,"",0,0
"5e75f60ae9644415b9b3669a",1,"Read Version A","ALLOW","TUCK","Study1","U",576,2159,"deny",0,0
"5ec848e98af2e014101df8e5",1,"Read Version A","ALLOW","TUCK","Study1","U",942,2995,"",0,0
"5ede7d5c5b5d620e7a1d1ccf",1,"Read Version A","ALLOW","TUCK","Study1","U",943,3778,"",0,0
"5eea09b8178b96000c1102d9",1,"Read Version A","ALLOW","TUCK","Study1","U",2484,4752,"DO",0,0
"5efcde0e87c4ec0ee472c936",1,"Read Version A","ALLOW","TUCK","Study1","U",752,2863,"dont",25,0
"5c6427f1327a7600010b071e",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",3473,5613,"design",100,100
"5da179412996110016d853d5",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",926,3608,"castle",16.666666666667,0
"5e1777e09debf50892de6585",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1775,6283,"building",28.571428571429,0
"5e75f60ae9644415b9b3669a",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1003,2815,"building",28.571428571429,0
"5ec848e98af2e014101df8e5",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1272,2522,"",0,0
"5ede7d5c5b5d620e7a1d1ccf",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",669,4976,"buildi g",28.571428571429,0
"5eea09b8178b96000c1102d9",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1909,3985,"BUILDING",28.571428571429,0
"5efcde0e87c4ec0ee472c936",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1327,3256,"building",28.571428571429,0
