Direction,Task,Average,Upper,Lower
B,JOL,58.77392421,63.75752377,53.79032466
F,JOL,63.15596919,67.93987994,58.37205844
S,JOL,67.74935733,72.79460957,62.70410508
U,JOL,15.78291586,19.89207933,11.67375239
B,Recall,33.71868979,39.60848189,27.82889769
F,Recall,71.95121951,77.09131882,66.8111202
S,Recall,61.63239075,67.71270665,55.55207484
U,Recall,15.41425819,21.32703644,9.501479942
