Username,B,F,S,U,task
571a82d06a1c6300094c6a19,5905.825,3946.875,4685.575,3428.45,jol
59462a6538e39c0001280168,3359,2824.95,2962.55,2825.2,jol
5a19ec537542890001aa7f8e,2633.9,2606.55,2490.775,2350.975,jol
5a9a64376219a30001d3455c,3392.35,3640.275,3249.15,4703,jol
5ae7f99bd5ec5e000175f097,4643.55,4028.25,3161.05,2292.75,jol
5aeabf2c15a9c300011acbc3,2835.75,2648.625,3314.85,3034.2,jol
5b8aead9bfaebb0001e18e24,3412.2,4624.675,4111.95,3448.65,jol
5bf28b48ae1b600001d403dc,3819.95,3479.1,4291.9,3982.1,jol
5c44cd8cf5e3bc00014eb7ba,10385.35,5600,6832.475,6366.85,jol
5c48f53437da740001e8974f,4014.525,4620.675,6844.7,4575.775,jol
5c4a28e0b8f0e3000192feda,3636.1,3863.4,3860.8,3642.1,jol
5c7cf048cdb6aa001667f664,3270.75,3490.775,2707.125,3052.675,jol
5c8839294b0de2000135270f,7774.9,7019.725,6839.525,5273.15,jol
5cbc19c1ff41f900131b8297,2959.125,2256.125,2846.5,2020.725,jol
5ccdc8af8866b10015fff794,4264.275,3574.7,3055.575,3093.275,jol
5d41caffac956a00012ae959,5989.875,5691.75,5215.875,6040.225,jol
5d74125de8351c0001f3fb28,3237.475,3167.525,3608.425,2652,jol
5dcfb1534a113a0c4f2d1b4b,3486.925,3379.075,2838.975,2283.55,jol
5dfcdb9debfaeb000df91e5a,2885.875,3132,2585.475,2407.8,jol
5e12202adc79bd8a6c74499b,3352.8,3595.35,3492.875,4323.95,jol
5e3363d98451543389de4bf8,2730.85,2672.55,2574.45,2547.05,jol
5e6eb94c3ac32e47bd23fa08,3016.325,2769.575,2917.45,3453.35,jol
5e8a99dd28310c73e6e02f21,3383.625,2963.2,8619.875,4411.525,jol
5e8f9f9e36e20a295de9ae24,3699.075,3067.575,2933.375,3783.425,jol
5e948a0f1d2e517dbae5c1ed,2354.675,2236.5,2165,2613.275,jol
5e949ca2c09edb04cc9f1f3b,5433.95,5747.225,5072.475,5942.225,jol
5ea01b9724d981029cad9541,4544.3,4613.1,4412.65,4786.05,jol
5eadbecb12e701466371419c,3509.5,4295.7,3045.975,3324.525,jol
5ec8ee3bff90f5000995d1b6,3869.5,3555.775,4301.75,2988.2,jol
5ecaf44b2be8f90e15524273,2743.975,2269.925,2197.35,3188.5,jol
5ecbf17c922a5d090b7dbde2,4278.525,5817.775,4906.925,4953.925,jol
5ecd74f6c4e70b0df895c03e,11841.925,11204.75,10763,9085.475,jol
5ee37ccb16ad19000c16585e,3888.725,9142.9,4190.975,4017.5,jol
5ee3f8e4f8b4750deab84dc3,4049.3,3973.925,3556.475,3928.55,jol
5ee9c6eb82a6e436011ecc86,3073.1,4287,3193.2,4212.5,jol
5ef9ea32170fdf79d44818dc,3970.525,3111.95,4541.7,3293.2,jol
