"Username","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Response.Response","Response.Accuracy","Recall_Score"
"55b3120cfdf99b6ef6263a71",1,"Read Version A","ALLOW","TUCK","Study1","U",1259,7083,"",0,0
"5ce2eaf7a74ff200195bf799",1,"Read Version A","ALLOW","TUCK","Study1","U",3121,15600,"PASS",0,0
"5d08b2a59b19d00018ad93d4",1,"Read Version A","ALLOW","TUCK","Study1","U",724,2183,"",0,0
"5e6c11183556f0000af780b7",1,"Read Version A","ALLOW","TUCK","Study1","U",1693,6459,"",0,0
"5e8209ae9c77a701e51fd83b",1,"Read Version A","ALLOW","TUCK","Study1","U",2344,11241,"take",50,0
"5eab00d45a85f509b69b78c2",1,"Read Version A","ALLOW","TUCK","Study1","U",3122,8978,"",0,0
"5eb2302ce5aa1f381ff740f4",1,"Read Version A","ALLOW","TUCK","Study1","U",6178,2348,"",0,0
"5ece8aec61cfc90a2216bf22",1,"Read Version A","ALLOW","TUCK","Study1","U",1470,4080,"TUCK",100,100
"55b3120cfdf99b6ef6263a71",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1718,4064,"building",28.571428571429,0
"5ce2eaf7a74ff200195bf799",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1367,17046,"PLAN",20,0
"5d08b2a59b19d00018ad93d4",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",968,18543,"design",100,100
"5e6c11183556f0000af780b7",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",3312,8595,"Building",28.571428571429,0
"5e8209ae9c77a701e51fd83b",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",3372,3471,"design",100,100
"5eab00d45a85f509b69b78c2",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",2172,10035,"BUILDING",28.571428571429,0
"5eb2302ce5aa1f381ff740f4",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",5378,9904,"design",100,100
"5ece8aec61cfc90a2216bf22",1,"Read Version A","ARCHITECTURE","DESIGN","Study1","S",1480,5244,"BUILD",18.181818181818,0
"55b3120cfdf99b6ef6263a71",1,"Read Version A","ART","LION","Study1","U",1551,11084,"color",22.222222222222,0
"5ce2eaf7a74ff200195bf799",1,"Read Version A","ART","LION","Study1","U",2611,8957,"Paint",44.444444444444,0
"5d08b2a59b19d00018ad93d4",1,"Read Version A","ART","LION","Study1","U",835,11820,"painting",33.333333333333,0
"5e6c11183556f0000af780b7",1,"Read Version A","ART","LION","Study1","U",2456,2961,"Maths",0,0
"5e8209ae9c77a701e51fd83b",1,"Read Version A","ART","LION","Study1","U",2745,7140,"gallery",18.181818181818,0
"5eab00d45a85f509b69b78c2",1,"Read Version A","ART","LION","Study1","U",2362,1816,"",0,0
"5eb2302ce5aa1f381ff740f4",1,"Read Version A","ART","LION","Study1","U",3757,1817,"",0,0
"5ece8aec61cfc90a2216bf22",1,"Read Version A","ART","LION","Study1","U",1092,34868,"OOPS",25,0
"55b3120cfdf99b6ef6263a71",1,"Read Version A","ARTERY","BRONZE","Study1","U",1766,5161,"vein",20,0
"5ce2eaf7a74ff200195bf799",1,"Read Version A","ARTERY","BRONZE","Study1","U",3980,2904,"GOLD",20,0
"5d08b2a59b19d00018ad93d4",1,"Read Version A","ARTERY","BRONZE","Study1","U",1151,2980,"heart",18.181818181818,0
"5e6c11183556f0000af780b7",1,"Read Version A","ARTERY","BRONZE","Study1","U",1766,5734,"liver",18.181818181818,0
"5e8209ae9c77a701e51fd83b",1,"Read Version A","ARTERY","BRONZE","Study1","U",3583,6455,"vein",20,0
"5eab00d45a85f509b69b78c2",1,"Read Version A","ARTERY","BRONZE","Study1","U",2465,4346,"VEIN",20,0
"5eb2302ce5aa1f381ff740f4",1,"Read Version A","ARTERY","BRONZE","Study1","U",6676,5640,"copper",33.333333333333,0
