"JAM","FREQ","JOL"
36.25,76.85,54.75
27.5263157894737,49.3,39.875
73.6842105263158,82.75,83.5625
64.9230769230769,84.7,65.3125
76.1052631578947,82.65,79.5625
71.3076923076923,80.85,51.75
50.6842105263158,67.9,57.8823529411765
59.3846153846154,92,64.1875
64.0769230769231,80.05,62.5
61.9230769230769,94.35,59.5
73.3076923076923,90.6,70
64.8947368421053,84.05,69.7058823529412
67.258064516129,78.35,69.21875
54.1052631578947,72.3,62.5882352941176
61.6153846153846,88.6,61.5625
64.1538461538462,84.4,46.4375
58.9230769230769,82.65,60.7333333333333
52.9444444444444,83.7,55.875
85.1666666666667,87.15,82.1764705882353
73.7692307692308,93.05,86.375
68.5263157894737,76.3157894736842,68.5294117647059
64.1578947368421,67.55,70.1333333333333
64.8125,69.75,58.875
41.1052631578947,46.45,37
56.4615384615385,56.4,61.3333333333333
66.2631578947368,81.5,72.1176470588235
63.0769230769231,84.1,72
56.3076923076923,82.9,69.6875
63.4615384615385,89.55,53.6875
53.4736842105263,78.05,63.8823529411765
60.3684210526316,70.45,61.8823529411765
43.1052631578947,71.85,59.0625
78.5789473684211,85.05,87.4375
76.625,87.775,73.21875
49.7692307692308,76.75,53.125
88.4615384615385,95.55,81.1875
46.6842105263158,65.55,63.125
52.3846153846154,85.6,51.625
55.7692307692308,69.3,59
55.5263157894737,74.95,59.4375
72,82.55,61.1875
57.3076923076923,72.3,45.75
74.1578947368421,66.55,76.5
38.1578947368421,54.6315789473684,42.1176470588235
69.5789473684211,73,73.25
53.9230769230769,81.5,42.75
84.4736842105263,80.7,75.8235294117647
75.3076923076923,84.55,67.5
69.6842105263158,74.4,68.4117647058823
37.9473684210526,59.15,41.5
74.1538461538462,91.65,69.5
53.5,70.8,57.375
68.3076923076923,84.85,65.125
67.6153846153846,84.1,62.4375
74.1052631578947,85.9,75.6470588235294
57.6153846153846,82.3,59.0625
64.5263157894737,74.7,73.1764705882353
78.8333333333333,88.55,83.8125
77,83.7,73
55.3157894736842,71.1,44.1176470588235
65.6923076923077,84.25,62.875
64.7894736842105,80.6,60.4375
62.5789473684211,82.6,71.7058823529412
71.3684210526316,71.35,69.9375
63.6315789473684,75.2,69.125
65.7692307692308,74,59.4375
60.7777777777778,82.5,62.0625
63.5769230769231,85.3846153846154,65.4193548387097
54.2307692307692,77.9,63
69.8125,84.35,78.9393939393939
66.5263157894737,78.6,81.5
67.7692307692308,77.05,62.25
68.5263157894737,73.2105263157895,83
70.1578947368421,89.7,72.2941176470588
61.6842105263158,78.5,57.5294117647059
61.7368421052632,74.1578947368421,60.0625
60.6153846153846,79.25,71.4375
