Direction,Task,Average,Upper,Lower
B,JOL,35.61,41.36,29.58
F,JOL,71.74,77.08,66.41
S,JOL,60.68,66.61,54.76
U,JOL,13.41,17.16,9.66
B,JAM,36.36,42.07,30.66
F,JAM,67.57,74.32,60.83
S,JAM,61.29,67.71,54.87
U,JAM,14.17,17.82,10.51
B,Study,27.34,33.48,21.21
F,Study,55.16,61.44,48.88
S,Study,46.06,52.76,40.05
U,Study,16.95,21.2,12.71
