Direction,Task,Average,Upper,Lower
B,JOL,34.67,41.47,27.88
F,JOL,70.62,76.96,64.29
S,JOL,59.88,66.51,53.26
U,JOL,10.01,13.27,6.75
B,Study,16.57,20.83,12.32
F,Study,51.39,57.71,45.06
S,Study,36.67,42.38,30.95
U,Study,11.94,16.2,7.68
