Direction,Task,Average,Upper,Lower
B,JOL,26.6,30.81,22.39
F,JOL,63.78,68.27,59.29
S,JOL,54.17,59.23,49.1
U,JOL,9.87,12.71,7.03
B,Relational,30.89,38.45,23.34
F,Relational,58.17,64.86,51.47
S,Relational,50.06,56.78,43.33
U,Relational,25.11,32.6,17.62
B,Vowel,14.13,19.81,8.44
F,Vowel,39.18,45.91,32.47
S,Vowel,29.83,36.19,23.46
U,Vowel,9.59,15.06,4.13
B,Study,17.13,20.58,13.67
F,Study,48.06,52.69,43.43
S,Study,38.13,42.78,33.47
U,Study,9.13,12.29,5.96
