Direction,Task,Average,Upper,Lower
B,JOL,31.67,36.96,26.38
F,JOL,69.29,74.69,63.9
S,JOL,57.76,63.37,52.14
U,JOL,8.85,11.35,6.35
B,Study,16.09,19.39,12.79
F,Study,48.08,53.28,42.87
S,Study,36.03,41,31.05
U,Study,9.68,12.84,6.52
