"Trial.ID","Sub.ID","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Study.RT","Response.RT.1","Responses","Response.Accuracy","Answer","Scored"
1,"10097621LS",1,"Read Version A","ALLOW","tuck","Study1","U",2205,14044,"tuck",100,"tuck",1
1,"W10106164HPR",1,"Read Version A","ALLOW","tuck","Study1","U",1167,3819,"let",28.571428571429,"tuck",0
1,"w10096966",1,"Read Version A","ALLOW","tuck","Study1","U",1065,1221,"",0,"tuck",0
1,"w10030757JP",1,"Read Version A","ALLOW","tuck","Study1","U",994,717,"",0,"tuck",0
1,"w10076541_mim",1,"Read Version A","ALLOW","tuck","Study1","U",1526,5286,"",0,"tuck",0
1,"w10067789_JT",1,"Read Version A","ALLOW","tuck","Study1","U",1532,19560,"",0,"tuck",0
1,"5f26ad14db44f940a40c86dd",1,"Read Version A","ALLOW","tuck","Study1","U",9000,5367,"",0,"tuck",0
1,"w980000_lf",1,"Read Version A","ALLOW","tuck","Study1","U",1894,4027,"access",20,"tuck",0
1,"w10022439_mlr",1,"Read Version A","ALLOW","tuck","Study1","U",1635,799,"",0,"tuck",0
1,"5d0a90bb7c5110001acaa336",1,"Read Version A","ALLOW","tuck","Study1","U",5162,3683,"",0,"tuck",0
2,"w10096966",1,"Read Version A","ARCHITECTURE","design","Study1","S",8519,2123,"",0,"design",0
2,"w10067789_JT",1,"Read Version A","ARCHITECTURE","design","Study1","S",1924,4128,"build",18.181818181818,"design",0
2,"w10022439_mlr",1,"Read Version A","ARCHITECTURE","design","Study1","S",1047,1018,"",0,"design",0
2,"W10106164HPR",1,"Read Version A","ARCHITECTURE","design","Study1","S",1544,7389,"sculpture",13.333333333333,"design",0
2,"w10030757JP",1,"Read Version A","ARCHITECTURE","design","Study1","S",946,2189,"",0,"design",0
2,"w980000_lf",1,"Read Version A","ARCHITECTURE","design","Study1","S",1389,6783,"building",28.571428571429,"design",0
2,"w10076541_mim",1,"Read Version A","ARCHITECTURE","design","Study1","S",1597,6850,"design",100,"design",1
2,"10097621LS",1,"Read Version A","ARCHITECTURE","design","Study1","S",1032,4380,"build",18.181818181818,"design",0
2,"5d0a90bb7c5110001acaa336",1,"Read Version A","ARCHITECTURE","design","Study1","S",1483,3160,"design",100,"design",1
2,"5f26ad14db44f940a40c86dd",1,"Read Version A","ARCHITECTURE","design","Study1","S",13249,14556,"design",100,"design",1
3,"W10106164HPR",1,"Read Version A","ART","lion","Study1","U",788,13583,"painter",36.363636363636,"lion",0
3,"w10076541_mim",1,"Read Version A","ART","lion","Study1","U",500,1226,"",0,"lion",0
3,"w10067789_JT",1,"Read Version A","ART","lion","Study1","U",1977,3033,"",0,"lion",0
3,"w10022439_mlr",1,"Read Version A","ART","lion","Study1","U",1184,644,"",0,"lion",0
3,"w10096966",1,"Read Version A","ART","lion","Study1","U",1051,4213,"",0,"lion",0
3,"5d0a90bb7c5110001acaa336",1,"Read Version A","ART","lion","Study1","U",6294,17454,"bronze",40,"lion",0
3,"w980000_lf",1,"Read Version A","ART","lion","Study1","U",1654,5568,"",0,"lion",0
3,"w10030757JP",1,"Read Version A","ART","lion","Study1","U",1735,2229,"",0,"lion",0
3,"5f26ad14db44f940a40c86dd",1,"Read Version A","ART","lion","Study1","U",9085,9332,"lion",100,"lion",1
3,"10097621LS",1,"Read Version A","ART","lion","Study1","U",1129,38208,"lion",100,"lion",1
4,"w10096966",1,"Read Version A","ARTERY","bronze","Study1","U",1455,1676,"",0,"bronze",0
4,"w10030757JP",1,"Read Version A","ARTERY","bronze","Study1","U",2198,2773,"heart",18.181818181818,"bronze",0
4,"w10067789_JT",1,"Read Version A","ARTERY","bronze","Study1","U",3613,6775,"bronze",100,"bronze",1
4,"10097621LS",1,"Read Version A","ARTERY","bronze","Study1","U",1007,4571,"clogged",30.769230769231,"bronze",0
4,"W10106164HPR",1,"Read Version A","ARTERY","bronze","Study1","U",1927,18495,"scultpture",25,"bronze",0
4,"w980000_lf",1,"Read Version A","ARTERY","bronze","Study1","U",4596,4449,"bronze",100,"bronze",1
4,"w10076541_mim",1,"Read Version A","ARTERY","bronze","Study1","U",3436,16306,"blood",36.363636363636,"bronze",0
4,"5d0a90bb7c5110001acaa336",1,"Read Version A","ARTERY","bronze","Study1","U",6475,14970,"blood",36.363636363636,"bronze",0
4,"5f26ad14db44f940a40c86dd",1,"Read Version A","ARTERY","bronze","Study1","U",9364,9638,"",0,"bronze",0
4,"w10022439_mlr",1,"Read Version A","ARTERY","bronze","Study1","U",1120,1315,"",0,"bronze",0
5,"W10106164HPR",1,"Read Version A","BABY","child","Study1","S",919,3011,"mother",18.181818181818,"child",0
5,"w980000_lf",1,"Read Version A","BABY","child","Study1","S",1025,6600,"child",100,"child",1
5,"w10076541_mim",1,"Read Version A","BABY","child","Study1","S",1854,8198,"child",100,"child",1
5,"w10096966",1,"Read Version A","BABY","child","Study1","S",1176,4284,"child",100,"child",1
5,"5d0a90bb7c5110001acaa336",1,"Read Version A","BABY","child","Study1","S",2191,7874,"infant",18.181818181818,"child",0
5,"w10030757JP",1,"Read Version A","BABY","child","Study1","S",694,3436,"child",100,"child",1
5,"w10067789_JT",1,"Read Version A","BABY","child","Study1","S",1513,3060,"",0,"child",0
5,"10097621LS",1,"Read Version A","BABY","child","Study1","S",1018,30009,"child",100,"child",1
5,"w10022439_mlr",1,"Read Version A","BABY","child","Study1","S",771,2534,"",0,"child",0
5,"5f26ad14db44f940a40c86dd",1,"Read Version A","BABY","child","Study1","S",1353,9826,"child",100,"child",1
6,"w10076541_mim",1,"Read Version A","BALL","racket","Study1","B",1097,55188,"sport",36.363636363636,"racket",0
6,"w10096966",1,"Read Version A","BALL","racket","Study1","B",1299,5141,"game",40,"racket",0
6,"10097621LS",1,"Read Version A","BALL","racket","Study1","B",950,56358,"bounce",33.333333333333,"racket",0
6,"W10106164HPR",1,"Read Version A","BALL","racket","Study1","B",1173,4832,"dog",0,"racket",0
6,"5f26ad14db44f940a40c86dd",1,"Read Version A","BALL","racket","Study1","B",12496,15071,"racket",100,"racket",1
6,"w10030757JP",1,"Read Version A","BALL","racket","Study1","B",963,3778,"play",20,"racket",0
6,"w980000_lf",1,"Read Version A","BALL","racket","Study1","B",1551,6058,"play",20,"racket",0
6,"5d0a90bb7c5110001acaa336",1,"Read Version A","BALL","racket","Study1","B",3418,2261,"park",40,"racket",0
6,"w10022439_mlr",1,"Read Version A","BALL","racket","Study1","B",1010,4791,"catcher",30.769230769231,"racket",0
6,"w10067789_JT",1,"Read Version A","BALL","racket","Study1","B",2164,3494,"",0,"racket",0
7,"w10096966",1,"Read Version A","BATHROOM","toilet","Study1","S",1172,4760,"toilett",92.307692307692,"toilet",1
7,"10097621LS",1,"Read Version A","BATHROOM","toilet","Study1","S",1512,32996,"toilet",100,"toilet",1
7,"W10106164HPR",1,"Read Version A","BATHROOM","toilet","Study1","S",923,7552,"toilet",100,"toilet",1
