"Sub.ID","B","F","S","U"
"334685WJ",67.5,90,82.5,37.5
"5ba9162d73b20c000146ea20",50,65,55,37.5
"5be33cf3da0eef000144ef5b",50,87.5,70,15
"5d6394518df2870001a74b42",32.5,52.5,57.5,5
"5e18ec6ccfe732000cddf5ed",22.5,85,62.5,12.5
"5e9488b1c10618039581d2f7",62.5,92.5,80,25
"5eb3ef823294381f54d11d31",12.5,57.5,57.5,5
"5f16d0ac0ed942000a7dfeb0",10,55,45,7.5
"5f26b501dd983441aaaa41a9",40,80,47.5,15
"5f4822c87200c92c9ef20bb1",62.5,95,87.5,12.5
"5f50efe49dd63f29776ce8d6",20,75,62.5,10
"5f906d9892b0ac120238830b",52.5,85,80,15
"905158TA",45,85,65,17.5
"w10006036_mlh",67.5,65,90,30
"w10012551_ash",17.5,45,25,2.5
"w10013081",17.5,70,50,5
"w10016442_mb",40,67.5,60,10
"w10019988_kh",30,77.5,67.5,10
"w10021803mm",12.5,50,35,0
"w10027292MK",27.5,57.5,50,0
"w10030814_cms",55,92.5,77.5,45
"w10036134AN",15,45,35,0
"w10037565TT",35,75,62.5,15
"w10037861HE",30,65,62.5,5
"w10044868_as",37.5,57.5,60,7.5
"w10045963_lnp",47.5,90,85,15
"w10046977_ajg",47.5,92.5,67.5,17.5
"w10062352_bow",27.5,75,55,20
"w10065682_amm",30,70,55,10
"w10088466_kad",32.5,80,70,12.5
"w10106212EB",25,50,47.5,10
"w984273RS",12.5,52.5,17.5,2.5
"w995669_AML",40,85,77.5,10
