"Sub.ID","B","F","S","U"
"10047038AM",62.5,77.5,72.5,15
"10064478oc",22.5,67.5,60,2.5
"5be94f66a169160001dafb9d",37.5,77.5,75,10
"5cfcd9157534f400193f4a57",50,75,80,22.5
"5d3d82ce29130a00195cd74f",30,55,55,5
"5eb5a8cb24edf10dc07e97c0",7.5,35,22.5,10
"5ebd3dae8c3ef3000b5b1b2d",32.5,85,62.5,15
"5eca602581b3801c9f178cec",7.5,30,32.5,5
"5ef8eeb63f6343097030fd37",47.5,67.5,55,10
"5f3fafc56486990342802c9f",27.5,62.5,60,10
"5f4ea8b0601efe0debb21dc6",52.5,82.5,70,30
"5f5165ce1bff403b27a108ff",42.5,80,65,0
"w10011881_dnd",47.5,82.5,67.5,30
"w10029010",17.5,40,40,2.5
"w10030825FS",42.5,80,60,17.5
"w10040181_lb",40,90,72.5,2.5
"w10048422AB",40,60,57.5,10
"w10049640",30,52.5,45,2.5
"w10049766_AYN",42.5,92.5,80,12.5
"w100547_HRO",42.5,72.5,75,30
"w10059558_rch",30,70,57.5,10
"w10059664CB",40,80,82.5,17.5
"w10065910_kb",60,90,90,42.5
"w10067540jer",17.5,30,30,5
"w10068374CG",62.5,95,87.5,35
"w10069845",70,87.5,72.5,12.5
"w10071305_mkt",32.5,72.5,62.5,12.5
"w10088817_XD",27.5,57.5,50,2.5
"w10098918_eks",45,47.5,70,17.5
"w10103818",7.5,37.5,27.5,15
"w10104941_mrp",45,82.5,80,27.5
"w218848BM",37.5,82.5,82.5,22.5
"w997000jy",2.5,32.5,22.5,5
