Username,Direction,Task,Score,,Average of Score,Column Labels,,,,,,,,,,,,
w10010080YS,U,JOL,3,,,JOL,,,,JOL Total,Recall,,,,Recall Total,(blank),(blank) Total,Grand Total
w10024584,U,JOL,0,,Row Labels,B,F,S,U,,B,F,S,U,,(blank),,
w10033288,U,JOL,10,,611268,68.525,71.625,76.875,15.35,58.09375,37.5,70,62.5,5,43.75,,,50.921875
w10042962_jkc,U,JOL,5,,985845,37.8,43.65,47,5.25,33.425,7.5,62.5,35,2.5,26.875,,,30.15
w10048478_tn,U,JOL,15,,994700,73.875,80.9,78.5,14.1,61.84375,15,62.5,40,0,29.375,,,45.609375
w10049707_slh,U,JOL,0,,996485,36.6,38.05,43.35,3.525,30.38125,25,77.5,65,5,43.125,,,36.753125
w10061353,U,JOL,10,,w10001221,46.25,55.25,56.975,9.25,41.93125,30,75,57.5,10,43.125,,,42.528125
w10061432,U,JOL,0,,w10009222,43.8,54.5,57.38461538,11.675,41.74213836,32.5,75,56.41025641,10,43.39622642,,,42.56918239
w218847JDM,U,JOL,10,,w10009467,86.25,80.625,96.875,3.125,66.71875,45,80,77.5,12.5,53.75,,,60.234375
w922820,U,JOL,0,,w10010080YS,63.825,73.3,77.875,24.775,59.94375,60,90,100,52.5,75.625,,,67.784375
W970517,U,JOL,10,,w10011296,66.725,68.75,69.025,46.02564103,62.73584906,92.5,100,97.5,76.92307692,91.82389937,,,77.27987421
w10010080YS,S,JOL,82,,w10012887_cch,67.05,61.85,68.25,26.725,55.96875,30,80,72.5,12.5,48.75,,,52.359375
w10024584,S,JOL,100,,w10015958brb,22.725,39.48717949,43.17948718,11.125,28.97468354,27.5,53.84615385,56.41025641,2.5,34.81012658,,,31.89240506
w10033288,S,JOL,10,,w10019534_SRB,67.775,75.325,75.775,15.275,58.5375,55,97.5,85,17.5,63.75,,,61.14375
w10042962_jkc,S,JOL,60,,w10020327AD,58.425,64.5,66.71794872,3.45,48.1572327,45,80,71.79487179,20,54.08805031,,,51.12264151
w10048478_tn,S,JOL,30,,w10024584,62.375,63.475,64.375,9.5,49.93125,7.5,37.5,22.5,0,16.875,,,33.403125
w10049707_slh,S,JOL,10,,w10025409_jnl,68.975,62.05,82.3,9.425,55.6875,17.5,60,50,5,33.125,,,44.40625
w10061353,S,JOL,70,,w10033288,19.3,20.875,24.525,12.875,19.39375,47.5,70,62.5,22.5,50.625,,,35.009375
w10061432,S,JOL,20,,w10042962_jkc,55.975,65.775,65.35,5.675,48.19375,35,75,62.5,7.5,45,,,46.596875
